Bitola;Massa;d;bf;tw;tf;h;hw;Area;Ix;Wx;rx;Zx;Iy;Wy;ry;Zy;rt;J;Cw
W 150 x 13.0;13;148;100;4.3;4.9;138;118;16.6;635;85.8;6.18;96.4;82;16.4;2.22;25.5;2.6;1.72;4181
W 150 x 18.0;18;153;102;5.8;7.1;139;119;23.4;939;122.8;6.34;139.4;126;24.7;2.32;38.5;2.69;4.34;6683
W 200 x 15.0;15;200;100;4.3;5.2;190;170;19.4;1305;130.5;8.2;147.9;87;17.4;2.12;27.3;2.55;2.05;8222
W 200 x 19.3;19.3;203;102;5.8;6.5;190;170;25.1;1686;166.1;8.19;190.6;116;22.7;2.14;35.9;2.59;4.02;11098
W 200 x 22.5;22.5;206;102;6.2;8;190;170;29;2029;197;8.37;225.5;142;27.9;2.22;43.9;2.63;6.18;13868
